turns,white_rating,black_rating,opening_moves,victory_status_cod,winner_cod,time_increment_cod,opening_code_cod,opening_fullname_cod,rated_cod
40,1374,1351,4,3,0,19,191,653,1
20,1073,1313,4,3,0,19,181,574,1
85,1737,1752,6,3,2,19,92,1203,1
89,1566,1558,1,3,2,19,36,960,1
40,1560,1270,5,1,0,103,246,936,1
95,1562,1715,6,3,0,316,50,769,1
69,2211,1900,5,1,2,37,162,360,1
11,1290,1371,9,3,2,19,226,1097,1
141,1799,1832,3,3,0,19,152,359,1
86,1621,1650,10,2,0,19,122,1215,1
80,1741,1880,8,2,0,19,101,1282,1
67,1639,1674,1,3,0,50,0,434,1
66,1579,1726,1,3,0,26,0,1433,1
51,1776,1888,7,3,2,258,153,397,1
41,1300,1333,6,1,2,108,119,1211,1
78,2001,1395,6,2,0,315,78,182,1
21,1708,1862,5,3,2,21,193,1035,0
33,1678,1299,10,3,2,19,172,185,0
16,1199,1503,1,1,0,379,0,434,1
40,1451,1594,4,3,0,390,191,643,1
93,1507,1448,5,3,2,236,177,1439,1
98,1788,2059,4,3,0,19,241,980,1
73,1404,1420,2,0,1,19,3,62,1
79,1638,1130,5,1,2,19,20,247,1
36,1460,1675,4,1,0,253,9,1007,1
121,1933,1970,4,2,2,19,45,209,1
76,1508,1496,2,1,0,103,81,111,0
72,1159,1207,5,1,0,391,192,785,1
119,1852,1836,4,0,1,21,99,1324,1
58,1504,1612,4,3,0,211,72,1141,0
64,1389,1561,2,1,0,19,81,111,1
24,1764,1365,4,3,2,19,108,1251,0
129,2113,2120,2,1,2,19,239,961,1
43,1170,981,3,2,2,19,191,635,1
67,1333,1302,6,3,2,19,201,405,1
35,1854,1162,3,1,2,211,152,352,1
36,1203,1422,1,1,0,19,0,827,1
72,1673,1717,4,1,0,108,264,874,1
63,2062,2140,3,3,2,187,152,352,1
97,1584,1500,5,2,2,361,84,134,0
25,1543,1517,8,3,0,236,201,297,0
43,1742,1218,3,1,2,37,71,656,0
71,1634,1698,1,1,2,361,0,1433,1
69,1802,1500,7,0,1,313,192,799,0
44,1886,1836,3,3,0,108,152,351,1
92,1939,2129,6,3,0,110,197,1419,1
51,1395,1338,4,3,0,75,191,643,1
67,1460,1242,4,1,2,19,195,637,1
70,1696,1563,1,1,0,311,0,30,1
84,1291,1313,4,3,2,19,99,1324,0
55,1693,1521,2,3,2,356,36,433,1
96,1431,1585,8,0,1,200,196,1166,1
29,1601,981,7,1,2,311,199,304,0
83,1518,1419,1,3,2,19,0,434,1
18,1559,1400,2,3,2,19,36,214,0
58,1376,1418,8,3,0,19,201,297,1
70,1950,1500,3,0,1,21,7,585,0
93,1461,1500,4,1,2,311,181,574,1
47,1521,1500,2,1,2,315,4,1472,0
89,1949,2225,6,1,2,19,72,1137,1
7,1156,1157,3,0,1,19,171,661,1
124,1676,2003,5,3,0,248,248,1378,1
101,1908,1498,6,1,2,19,216,1039,1
46,1046,1030,3,2,0,19,81,125,1
52,1930,1867,8,3,0,19,108,1333,1
90,1616,1776,7,3,0,37,120,1214,1
41,1337,1337,3,3,2,19,191,635,1
26,1340,1353,3,3,0,26,171,650,1
46,1654,1638,3,1,0,37,152,371,1
122,1366,1644,5,0,1,19,240,1008,1
66,1773,1821,4,2,0,102,72,1143,0
86,1391,1472,4,3,0,113,95,1223,1
17,1970,1710,6,3,2,19,212,1052,0
60,1543,1518,1,3,0,102,0,1433,1
119,1949,1562,7,0,1,19,175,78,0
113,1563,1445,7,2,2,187,197,295,0
56,1507,1512,3,3,0,236,152,359,1
97,1559,1557,3,1,2,19,152,352,1
66,1739,1713,7,2,0,312,197,297,1
78,1610,1895,2,1,0,19,36,433,1
102,1206,1132,1,1,0,104,0,1433,1
20,1493,1781,4,3,0,19,78,652,0
12,1758,1815,6,3,0,19,201,503,1
47,1366,1420,3,1,2,110,36,291,1
59,2060,1792,7,3,2,311,83,121,1
145,1474,1607,6,1,2,315,213,1121,0
89,1579,1565,4,1,2,19,72,1141,1
42,1463,1432,1,3,2,19,0,677,1
91,1713,1573,4,3,2,315,175,68,1
11,1315,1205,2,1,2,19,71,745,1
97,1456,1789,3,0,1,19,152,371,1
99,1619,1501,3,2,2,358,78,810,1
21,1289,1500,5,2,2,315,192,785,0
56,1418,1461,3,3,0,19,239,977,1
51,1589,1536,2,3,2,19,4,1471,0
43,2081,2243,2,3,2,368,78,809,1
135,1719,1677,4,1,2,110,192,784,1
53,1640,1881,4,3,2,19,264,874,1
96,1528,1458,4,3,0,19,175,68,1
37,1711,1209,4,3,2,377,175,68,1
32,1393,1487,6,3,2,28,179,1445,0
52,1879,2183,5,3,0,19,184,544,1
31,1330,1500,3,3,2,236,191,635,0
17,1848,1869,4,3,2,211,108,1251,0
51,1709,1703,1,3,2,19,0,434,1
74,1826,1970,3,3,0,28,91,1351,1
36,963,1500,3,3,0,329,78,810,0
47,1998,1358,5,3,2,189,192,783,1
84,1331,1434,3,1,0,361,174,67,1
43,1704,1775,7,3,2,19,199,304,1
48,1890,1957,8,3,2,19,81,115,1
10,1277,1464,7,0,1,70,219,1074,0
73,1420,1571,9,3,2,300,220,1081,0
118,1552,1648,9,3,0,104,268,888,1
121,1238,885,1,1,2,188,0,1433,1
47,2202,1965,3,3,2,361,152,359,1
57,1937,1792,3,3,2,19,7,585,1
94,1721,1754,4,1,0,19,117,1194,1
34,1862,1556,6,1,0,19,201,503,1
40,1444,1491,2,1,0,298,3,62,1
77,1635,1599,5,0,1,19,192,783,1
39,1943,1815,2,3,2,19,36,826,1
49,1301,1571,3,1,2,236,90,1208,0
11,1498,1509,2,3,2,19,72,1125,1
29,1773,1366,3,3,2,315,172,164,1
57,1832,1808,1,1,2,19,1,734,1
50,1340,1420,4,3,2,171,171,662,1
27,1500,901,2,3,2,288,72,1125,0
57,2210,1943,6,3,2,361,32,275,0
64,1988,2095,8,3,0,19,196,1166,1
53,1960,2000,2,3,2,19,4,1459,1
104,1576,1600,8,3,0,28,108,1252,0
49,1906,1928,7,3,2,108,196,1150,1
77,2135,1602,1,3,2,19,2,61,1
75,1401,1477,6,0,1,374,162,365,1
76,1515,1855,1,3,0,102,0,1433,1
49,1346,1552,4,1,2,19,191,665,1
47,1631,1677,8,3,0,236,202,480,1
81,1094,1144,4,1,2,108,176,1448,1
54,1695,1688,5,1,0,19,241,976,1
73,1976,1845,3,1,2,315,152,351,1
90,1512,1581,8,1,0,19,196,1154,1
86,1540,1505,2,3,0,187,39,766,1
53,1680,1799,4,3,0,19,99,1324,1
27,1492,1456,5,1,2,368,191,670,1
111,1383,1498,4,1,2,19,171,662,1
16,1730,1877,8,3,0,248,101,1282,1
29,1580,1590,5,3,2,19,195,659,1
12,1681,1914,4,3,0,19,117,1194,1
139,1736,1893,2,0,1,19,39,766,1
103,1729,2008,7,0,1,19,101,1327,1
48,1429,1432,2,3,0,108,77,682,1
30,1518,1371,6,3,2,361,192,797,1
36,1727,1825,3,3,0,102,152,351,1
26,1471,1935,2,3,0,315,152,311,1
49,1500,1486,4,1,2,370,191,643,0
89,1577,1559,3,3,2,19,174,67,1
136,2046,2011,2,2,0,19,36,433,1
52,1516,1905,2,1,0,19,37,960,1
90,1565,1947,3,1,0,19,90,1208,1
37,1845,1507,1,3,2,311,36,960,1
89,1359,1532,3,1,2,19,171,661,1
60,1285,1598,3,1,0,19,178,1434,1
107,1833,1719,4,3,2,108,9,1007,1
44,1416,1585,2,3,2,19,90,1194,1
7,1573,1403,2,2,2,19,77,682,1
60,1688,1935,8,1,0,103,192,789,1
30,1789,1607,4,3,0,253,96,1257,1
49,1792,1665,5,3,2,113,243,968,1
27,1425,1099,4,3,2,108,71,748,1
27,1431,1320,6,3,2,37,246,938,1
41,1617,1343,5,3,2,19,192,785,1
65,1392,1168,2,1,2,18,71,104,0
20,1545,1714,3,3,0,234,152,352,1
93,1455,971,2,3,2,102,36,214,1
49,1419,1544,2,2,2,19,19,247,1
60,1072,1625,1,1,0,203,0,677,1
38,1807,1862,9,3,0,19,204,467,0
17,1742,1321,6,1,2,187,206,463,1
71,1609,1880,4,3,2,19,99,1324,1
67,1567,1500,8,3,2,102,208,519,1
31,1511,1602,3,3,2,341,78,810,1
58,1655,2130,5,3,0,19,342,611,1
31,1800,1842,4,1,2,315,152,1002,1
61,2191,1599,5,1,2,56,241,976,1
111,1503,1146,3,3,2,19,41,453,1
113,1174,1210,2,3,2,311,152,311,1
106,2150,2171,2,3,0,361,36,682,1
71,1864,1398,3,3,0,19,91,1351,1
29,1352,1408,4,3,2,311,241,967,0
31,1684,1553,6,3,2,37,187,558,1
17,1700,1621,8,3,2,41,196,1154,1
70,1285,1812,5,1,0,19,44,674,0
81,1500,1814,8,3,2,377,13,221,1
53,1473,1587,6,3,2,236,221,1036,1
47,1307,1382,4,1,2,28,241,967,1
56,1533,1593,7,3,2,236,246,939,1
54,1462,1249,4,3,0,236,195,637,1
16,1730,1882,4,3,0,19,99,1324,1
11,1309,1314,5,3,2,19,181,577,1
44,1500,1404,2,3,0,54,72,1125,1
15,1678,1148,10,1,2,31,172,185,1
105,1397,1394,6,2,2,19,343,593,1
58,1678,1565,2,3,0,110,77,682,1
35,1174,1385,4,3,0,108,245,943,1
73,1779,1315,2,1,2,19,36,433,1
74,1786,1736,7,3,0,311,195,1167,0
13,1871,1098,7,3,2,19,206,522,1
15,1321,1393,7,1,2,202,101,1327,1
36,1528,1594,6,3,0,203,72,1137,0
52,1641,2011,5,3,0,108,153,343,1
17,1467,1372,6,3,2,19,215,1054,1
86,1776,1735,7,3,0,19,84,147,1
91,1404,1013,2,3,2,361,90,1194,1
14,1500,1313,2,3,2,19,39,766,0
66,1730,1859,5,3,0,19,83,117,1
96,1910,1849,7,3,0,31,268,886,1
86,1500,1500,4,2,0,19,152,1002,1
71,1795,1712,10,1,2,102,55,58,1
53,1831,1799,6,1,2,31,154,315,1
78,1198,1316,6,1,0,211,195,844,1
69,1533,1586,1,1,2,104,0,1427,1
40,1363,1418,7,3,0,19,196,1150,1
51,1744,1174,2,1,2,248,19,247,1
52,1301,1571,2,3,0,236,90,1194,0
75,1893,1897,8,3,2,19,38,684,1
86,1624,1504,4,3,0,315,192,784,1
28,1580,1500,5,3,0,102,258,868,0
48,1607,1543,5,1,0,117,83,117,1
73,1671,1560,2,3,0,19,81,111,1
17,1589,1255,5,1,2,19,192,785,0
29,1650,1585,6,3,0,19,213,1121,1
92,2182,2184,6,3,0,37,265,1178,1
31,1600,1631,7,3,2,376,101,1327,0
56,1719,1710,6,3,0,19,211,1108,1
23,1494,1589,3,3,2,102,20,258,1
52,1764,1711,5,1,0,104,258,868,1
87,1480,1349,6,3,2,363,211,1072,1
124,1648,1552,3,3,0,316,6,765,1
130,1272,1186,1,0,1,167,0,537,0
2,1055,1280,1,3,0,124,0,1433,1
42,973,1173,1,3,0,19,0,1433,1
69,2340,1857,4,1,2,19,241,965,1
33,1430,1492,3,1,2,19,90,1208,0
33,1539,1844,9,3,2,108,271,908,0
98,1633,1581,5,3,0,19,192,785,1
53,1839,1805,5,3,2,315,182,578,1
93,1129,1052,5,1,2,19,342,444,1
59,2298,2146,8,3,2,377,88,126,1
57,1710,1777,3,3,2,350,90,1370,1
21,1200,1257,3,3,2,19,152,351,1
16,1622,1765,3,2,0,102,181,540,1
48,1408,1577,6,1,0,236,206,463,1
124,1283,1267,5,1,0,361,99,1314,0
25,1151,1578,9,3,0,253,239,92,1
11,1681,1571,4,3,2,199,245,943,1
43,1407,1620,4,3,2,37,72,1143,1
77,1369,1508,2,3,0,19,4,1459,1
90,1133,1461,3,3,0,102,90,1208,0
39,1210,1112,2,1,2,19,71,407,1
3,1658,1240,3,2,2,311,191,635,0
67,1702,1946,3,3,0,19,239,977,1
60,1130,1383,6,1,0,19,185,550,1
109,2214,2286,2,0,1,248,3,62,1
40,1532,1514,3,3,0,19,71,137,1
57,2105,1806,6,1,2,311,268,903,1
86,1524,1567,3,2,0,311,90,1208,1
71,1392,1373,6,3,2,19,206,463,1
39,2213,1860,3,1,2,19,152,359,1
73,1776,1499,3,1,2,19,241,992,1
43,1758,1702,4,3,2,19,241,967,1
52,1780,1656,7,3,0,311,192,790,1
63,1626,1862,2,3,0,19,1,738,1
31,1360,1332,5,3,2,31,71,756,1
46,1455,2264,7,3,0,102,83,120,1
63,1500,1621,7,3,2,108,83,123,0
40,2126,2221,8,3,0,311,198,302,1
124,2127,2218,2,3,0,311,41,443,1
137,2070,1975,8,0,1,238,101,1247,1
39,1370,1500,5,1,2,236,192,783,0
50,1289,1275,1,3,0,187,0,827,1
6,1104,1228,2,3,2,108,19,247,0
89,1947,1701,8,1,2,264,266,1412,0
33,1831,1810,3,1,2,315,171,650,1
97,1780,1677,4,3,2,19,152,1002,1
95,1764,1919,4,1,2,21,191,643,1
36,1913,2020,2,3,0,19,152,311,1
113,1589,1694,7,3,0,19,196,1150,1
96,1211,2025,6,1,0,103,243,969,1
51,1336,1468,8,3,2,187,201,297,1
55,1709,1384,2,3,0,197,71,774,0
16,1393,1539,6,3,0,108,206,463,1
71,1600,1300,6,1,2,19,173,172,1
59,1595,1411,10,1,2,65,154,316,1
55,2108,1623,5,1,2,315,192,785,1
115,1488,1437,3,2,2,19,152,352,1
54,1705,1719,6,3,0,19,213,1121,1
73,1258,1362,3,1,2,108,93,1219,1
11,1681,1738,3,3,2,138,93,1219,1
122,1584,1504,4,1,0,37,195,637,0
43,1758,1702,4,3,2,19,241,967,1
60,1325,1499,2,3,0,361,36,433,1
54,1604,1380,5,3,2,378,192,783,1
84,1548,1601,6,3,0,108,319,704,1
65,1884,1815,6,3,2,19,71,763,1
32,2073,1890,9,3,0,104,53,43,1
11,1252,1348,3,1,2,19,174,67,1
34,1415,1734,3,3,2,248,90,1208,1
72,1829,1707,2,3,0,102,36,682,1
56,1738,1717,5,3,0,19,117,1224,1
117,1686,1400,7,1,2,19,196,1150,1
61,1663,1500,4,1,2,187,239,978,0
58,1499,1526,3,1,0,19,174,67,1
60,1215,1485,3,3,0,377,90,1370,1
50,1913,1147,1,3,2,102,0,404,0
51,1641,1777,5,1,2,311,71,759,1
30,1514,1524,8,3,0,108,204,465,0
73,2028,1981,2,3,2,344,28,269,1
57,1493,1473,3,1,2,19,152,359,1
129,1437,1645,1,3,2,303,0,404,1
46,1736,1697,4,1,0,102,175,68,1
78,1146,1355,5,1,0,31,195,1150,1
52,1358,1420,5,1,0,19,193,1035,1
96,1506,1970,3,1,0,19,171,661,0
30,1629,1645,6,1,0,314,213,1121,1
53,1406,1224,9,2,2,19,86,124,1
83,1226,1293,4,1,2,19,175,68,1
110,1500,1493,3,1,0,248,90,1370,0
65,1500,1689,5,1,2,315,108,1225,1
103,2283,2358,4,0,1,248,93,1217,1
101,1617,1666,1,3,2,19,0,1433,1
96,2068,1500,4,3,0,19,264,874,0
62,1486,1391,5,2,0,361,42,1452,1
69,1703,1677,4,3,0,104,77,1010,0
145,1964,1818,10,2,1,102,162,367,1
60,1510,1564,2,3,0,361,4,1465,1
100,1519,1749,4,0,1,19,117,1194,0
88,1704,1685,4,1,0,104,175,68,1
40,1923,1887,6,3,0,315,192,791,1
47,1636,1364,4,1,2,117,72,1141,1
130,1128,2177,2,1,0,388,0,442,0
59,1672,1701,3,3,2,19,91,1351,1
44,1320,1559,4,1,0,19,1,741,1
96,1585,1616,3,3,0,352,6,765,1
111,1347,1186,7,1,2,19,197,297,1
61,1835,1396,7,3,2,88,192,790,0
59,1507,1399,2,3,0,19,36,283,1
53,1500,1174,6,3,0,325,195,844,0
34,1497,1521,2,1,0,37,71,774,1
50,1136,1383,1,3,0,147,0,677,0
79,1775,1791,4,2,2,311,108,1251,1
83,1803,1874,10,2,2,19,144,1296,1
134,1910,2060,8,3,0,19,159,375,1
27,1336,1190,2,1,2,108,36,682,0
68,1458,1509,1,3,2,358,0,1124,1
69,1461,1338,5,1,2,19,239,995,1
91,1902,1789,6,3,2,19,52,34,1
67,1914,1897,8,3,2,19,217,1045,1
59,1318,1400,2,3,2,19,71,774,0
53,1617,2024,9,3,2,19,226,1105,1
47,1592,1542,6,1,2,102,195,1160,1
37,1646,1649,6,3,0,117,213,1121,0
30,1715,1651,7,1,0,223,83,121,1
49,1724,1958,5,2,2,361,39,48,1
64,1299,1647,3,1,0,19,90,1208,1
48,1298,1801,3,3,0,360,152,351,1
73,1557,1614,9,3,2,108,189,553,1
57,1158,1155,7,1,2,19,192,790,1
70,1328,1467,6,1,0,102,216,1039,1
45,1253,1620,6,1,2,19,192,791,1
84,1525,1628,5,3,0,19,44,674,1
34,1253,1236,3,3,0,236,171,655,0
11,1510,1208,1,3,2,19,0,1433,1
86,1442,1563,3,1,0,19,96,1194,1
66,1236,1618,3,3,0,322,81,125,1
41,1826,1648,2,3,2,19,36,682,0
24,1061,1133,3,2,0,188,171,650,1
43,1386,1279,1,0,1,19,0,434,1
2,1761,1579,2,2,0,19,90,1194,0
70,1200,1200,4,3,0,54,174,75,0
74,1500,1317,3,3,0,315,152,359,0
65,1343,1376,4,1,2,187,1,741,0
18,1244,1263,4,3,0,19,193,777,1
23,1645,1568,5,3,2,357,192,783,1
72,1895,1919,4,3,0,361,99,1324,1
77,1854,1730,7,3,0,315,196,1150,1
78,1496,1525,2,3,0,361,0,840,1
37,1911,1894,1,0,1,19,2,61,1
37,1693,1500,3,1,2,38,239,977,0
71,1853,1525,3,1,2,19,6,765,1
48,1142,1138,6,3,2,108,193,779,1
35,1935,1631,7,3,2,19,196,1150,1
38,1849,1389,5,3,2,19,195,1150,0
46,1424,1395,6,0,1,19,216,1039,1
59,1900,1647,9,3,2,26,227,1087,1
16,1752,1519,3,3,2,350,152,351,0
126,1622,1514,3,0,1,350,239,967,1
57,2264,1841,5,1,2,187,241,976,0
41,1773,1786,5,3,2,311,193,1035,1
51,1936,2001,6,0,1,19,246,938,1
35,1189,1164,4,0,1,19,73,17,1
70,1812,1852,3,1,0,19,241,992,0
63,1482,1525,5,2,2,31,193,778,1
90,1534,1740,3,1,0,20,152,363,1
53,1421,1430,5,3,2,19,108,1271,1
47,1410,1300,2,1,2,108,71,774,1
71,1877,1792,4,1,2,19,117,1194,1
20,1253,1539,2,3,0,108,90,1194,1
99,1646,1833,8,3,2,19,101,1255,1
46,1231,1177,3,3,0,361,171,655,1
60,2011,1865,3,1,0,19,241,992,1
32,1342,1792,9,3,0,19,201,494,1
78,1492,1646,3,1,0,298,19,255,1
113,1750,1755,4,3,2,108,191,643,1
37,1890,1866,2,3,0,108,11,243,1
125,1848,2264,4,3,2,26,72,1143,1
86,1511,1500,3,2,0,303,171,661,1
62,1417,1417,2,3,0,108,90,1194,1
27,1987,1568,7,3,0,29,193,780,0
39,1581,1495,3,3,2,200,239,962,1
19,2294,1319,7,1,2,19,196,1150,0
2,1633,1287,2,2,0,26,171,639,1
65,1239,1064,5,1,2,323,192,785,1
35,1385,1362,5,1,2,196,192,785,1
68,2211,1637,4,3,0,19,41,455,1
92,1876,1869,7,3,0,393,204,466,1
95,2116,2252,8,1,2,19,326,710,1
82,2025,2040,6,3,0,344,72,1146,1
79,1708,1548,2,3,2,19,78,809,1
33,1770,1872,3,3,2,19,241,992,1
62,1828,1801,5,3,0,19,71,752,1
97,1213,1813,2,1,2,19,36,433,1
30,1368,1184,5,3,0,37,195,843,1
71,1435,1164,7,2,2,19,201,492,0
73,1847,1707,5,3,2,102,192,783,1
29,1523,1375,7,3,0,19,197,297,1
29,1699,1497,2,2,2,311,11,243,1
82,1697,1776,5,1,0,102,0,841,0
58,1510,1480,6,3,0,128,212,1052,1
78,1500,1535,4,3,2,32,16,224,0
51,1500,1410,6,3,2,95,72,1137,0
54,1825,1869,3,3,0,107,152,352,1
74,1606,1645,3,2,0,108,90,1208,1
2,1646,1696,2,0,1,158,41,443,1
36,1578,1603,9,3,0,117,111,1263,1
75,1500,1372,2,3,2,102,4,1471,0
81,1500,1018,6,3,2,19,213,1121,0
74,1513,1605,5,3,0,19,193,1035,0
66,1112,1368,3,1,0,21,152,351,1
86,1232,1307,2,1,0,359,72,1125,1
39,1767,1424,5,1,2,359,248,1378,1
102,1280,1341,3,1,0,37,241,992,0
39,1569,1569,2,1,2,215,1,735,1
113,1597,1134,8,3,2,189,201,495,1
104,1550,1372,8,1,0,108,208,519,1
83,1669,1663,2,3,2,224,4,1458,1
41,2247,2094,6,1,2,311,90,1374,1
78,1458,1404,9,1,0,19,74,5,1
50,1500,1406,4,3,0,41,195,637,1
117,1897,1730,4,2,2,361,241,980,1
62,1110,1292,1,1,0,19,0,1433,1
80,1614,1831,8,1,0,67,201,495,0
104,1904,1812,6,1,0,19,82,154,1
58,1133,1500,3,1,0,19,171,847,0
120,1600,2015,2,3,0,19,77,682,1
66,1714,1676,4,1,0,31,72,1141,1
129,1779,1731,5,2,2,19,18,267,1
38,1726,1653,5,3,0,19,38,1258,0
21,1569,1189,9,1,2,350,206,524,1
74,1035,1703,7,3,0,309,173,173,1
54,1653,1176,3,3,0,37,171,282,0
35,1997,1631,4,3,2,102,152,1002,1
47,1406,1278,6,1,2,298,246,937,0
10,1414,1159,4,0,1,26,77,1010,1
71,1467,1267,3,3,2,317,171,654,1
68,1719,1737,5,1,0,361,211,1036,1
41,1383,1410,4,3,2,108,45,209,1
112,1460,1427,2,2,0,19,41,443,1
28,1139,1104,5,1,0,108,195,1150,1
74,1712,1848,4,3,0,19,99,1324,1
87,1728,1576,6,2,2,19,49,773,1
26,1189,1298,5,3,0,315,243,968,1
41,1703,1484,5,2,2,108,153,343,1
33,1558,1551,4,3,2,19,72,1141,1
40,1904,2020,4,1,0,253,99,1324,0
61,1704,1523,3,3,2,315,239,962,1
75,2043,1898,4,3,2,104,36,213,1
53,2008,1735,10,2,2,19,355,627,1
39,1770,1249,5,1,2,19,258,868,1
21,1821,1832,5,3,2,211,84,134,0
96,1878,1724,7,3,0,19,253,1399,1
29,1610,1427,5,3,2,19,101,1325,1
49,1538,1543,3,1,2,19,178,1434,1
19,2134,1667,8,3,2,104,196,1158,1
47,1598,1451,5,3,2,203,98,1312,1
51,1311,1360,4,3,2,19,172,642,0
42,2018,1812,4,3,0,361,21,261,0
61,1433,1421,1,3,2,19,0,1124,1
30,1318,1448,10,3,0,19,208,517,1
55,1808,1191,1,1,2,158,0,1433,0
38,2020,1846,6,3,0,19,172,188,1
27,1405,1437,3,3,2,19,239,967,1
71,1958,1867,2,0,1,248,41,443,1
114,1693,1621,4,0,1,19,343,460,1
41,1500,1034,5,3,2,19,71,752,0
77,1803,1574,6,1,2,102,211,1123,1
84,1530,1561,3,3,0,19,152,351,1
48,1653,1889,6,3,0,19,72,1137,1
75,1559,1500,2,2,2,19,71,190,0
25,1500,1149,3,1,2,19,174,67,1
108,1720,1566,4,1,0,19,191,653,1
94,1755,1717,5,1,0,19,201,462,1
63,2267,2022,1,1,2,374,0,1124,1
92,1155,1125,4,3,0,19,193,777,1
59,1500,1802,7,3,2,313,244,178,0
43,1633,1591,5,3,2,20,342,611,1
31,1500,1524,4,0,1,102,246,935,1
105,1790,1734,6,3,2,31,259,869,1
47,1383,1307,4,1,2,19,191,210,1
81,1710,1972,1,1,2,187,0,1427,1
73,1500,1428,3,1,2,102,6,1473,0
48,1729,1564,1,3,2,108,36,960,1
47,1552,1283,9,0,1,102,103,1201,1
50,1438,1497,2,1,0,311,77,682,1
65,1955,1942,10,1,2,19,208,517,1
47,1662,1663,3,1,2,225,90,1208,1
25,1795,1635,6,1,2,187,206,514,1
90,1801,2189,3,1,0,19,91,1351,1
29,1975,1750,10,0,1,136,219,1079,1
104,1408,1374,2,1,0,40,36,433,1
24,1542,1533,5,3,0,102,195,1150,1
75,1940,2045,9,3,2,19,276,1182,1
52,1509,1609,5,3,0,19,241,976,1
85,1558,1588,3,3,2,102,171,661,1
